"id";player;pos;enne
801;Gagliardini;C;0
73;Gagliolo;D;0
2196;Galabinov;A;0
4502;Gallo;D;0
5831;Gatti;D;0
474;Gervinho;A;1
244;Ghiglione;D;0
390;Ghoulam;D;1
702;Giaccherini;C;0
5899;Gigot;D;0
5833;Gila;D;0
4200;Giroud;A;0
548;Glik;D;0
5324;Godfrey;D;1
2572;Godin;D;0
5328;Gojak;C;0
610;Gollini;P;0
4179;Gonzalez N.;A;0
2160;Gosens;D;0
5800;Gudmundsson A.;C;0
5800;Gudmundsson A.;A;0
4186;Guendouzi;C;0
2758;Gunter;D;0
4992;Gyasi;A;1
4992;Gyasi;C;1
4160;Hakimi;D;1
402;Hamsik;C;0
250;Handanovic;P;0
5688;Harroui;C;1
2130;Hateboer;D;0
5310;Hauge;A;0
615;Helander;D;0
5529;Henry;A;0
4292;Hernandez T.;D;0
4423;Hernani;C;1
5300;Hickey;D;0
6046;Hien;D;1
408;Higuain;A;0
5678;Holm;D;0
140;Hysaj;D;0
475;Iago Falque;A;0
4331;Ibanez;D;0
2530;Ibrahimovic;A;0
277;Icardi;A;0
6672;Idzes;D;0
4407;Igor;D;1
5689;Ihattaren;C;1
4658;Ikone';C;1
5007;Ilic;C;0
177;Ilicic;A;0
177;Ilicic;C;0
6112;Iling Junior;C;1
785;Immobile;A;0
123;Inglese;A;0
409;Insigne;A;0
6398;Isaksen;A;0
5010;Ismajli;D;0
226;Izzo;D;0
1987;Jankto;C;0
1874;Joao Pedro;C;1
1874;Joao Pedro;A;1
4425;Joronen;P;0
2438;Jovic;A;0
256;Juan Jesus;D;1
5505;Kaio Jorge;A;1
652;Kalinic;A;0
4976;Kalulu;D;1
5948;Kamada;C;0
2325;Karamoh;A;1
6459;Karlsson;A;0
570;Karnezis;P;0
2180;Karsdorp;D;0
2097;Kean;A;1
345;Keita B.;A;1
1850;Kessie;C;1
299;Khedira;C;0
5892;Kim;D;0
2633;Kjaer;D;0
4182;Klaassen;C;0
2871;Klavan;D;0
2779;Kluivert;A;1
2779;Kluivert;C;1
2214;Kolarov;D;0
2640;Kolasinac;D;0
5589;Kone' M.;C;1
5685;Koopmeiners;C;0
5578;Kossounou;D;1
4711;Kostic;C;0
2762;Kouame';A;1
392;Koulibaly;D;1
5397;Kovalenko;C;0
6220;Kristensen;D;0
6435;Krstovic;A;0
148;Krunic;C;0
234;Kucka;C;0
NA;Kucka/Linetty;C;0
2833;Kulusevski;C;0
4495;Kumbulla;D;0
28;Kurtic;C;0
5839;Kvaratskhelia;A;0
5839;Kvaratskhelia;C;0
4530;Kyriakopoulos;D;0
447;La Gumina;A;0
5292;Lammers;A;0
1939;Lapadula;A;0
90;Lasagna;A;0
6060;Lauriente';A;1
4385;Lazaro;D;1
236;Lazovic;C;0
2263;Lazzari;D;0
2263;Lazzari;C;0
6299;Le Fee;C;0
4510;Leao;A;1
74;Letizia;D;0
5949;Lindstrom;C;0
2008;Linetty;C;0
2006;Lirola;D;0
478;Ljajic;A;0
311;Llorente;A;0
5239;Llorente D.;D;0
4287;Lobotka;C;0
827;Locatelli;C;0
4199;Loftus-Cheek;C;1
4730;Lookman;A;1
4681;Lopez M.;C;0
5850;Lovric;C;0
4517;Lozano;A;0
2209;Lucas Leiva;C;0
6215;Lucca;A;0
6042;Lucumi';D;1
2085;Luis Alberto;C;0
2335;Luiz Felipe;D;0
5832;Luis Maximiano;P;0
2531;Lukaku;A;1
2009;Lukic;C;0
338;Lulic;C;0
393;Luperto;D;0
5297;Luvumbo;A;1
2171;Lyanco;D;0
2653;Lykogiannis;D;0
4681;M. Lopez;C;0
5375;Maehle;D;0
4988;Maggiore;C;0
2769;Magnani;D;0
4312;Maignan;P;1
5233;Mayoral;A;0
5329;Makengo;C;1
550;Maksimovic;D;0
2860;Malcuit;D;1
4896;Maldini;C;0
4427;Malinovskyi;C;0
5393;Man;C;0
2296;Mancini;D;0
5454;Mancuso;A;0
6482;Mandas;P;0
1933;Mandragora;C;0
312;Mandzukic;A;0
459;Manolas;D;0
5834;Marcos Antonio;C;1
4904;Mari';D;0
4965;Marin;C;0
142;Mario Rui;D;0
2355;Marlon;D;1
2593;Martin;D;0
5116;Martinez Jo.;P;0
2764;Martinez L.;A;0
5323;Martinez Quarta;D;0
2188;Marusic;D;0
15;Masiello;D;0
49;Masina;D;1
2528;Matic;C;0
106;Mattiello;D;0
2306;Matuidi;C;1
5233;Mayoral;A;0
5481;Mazzocchi;D;0
4973;Mckennie;C;1
4777;McTominay;C;0
272;Medel;D;0
572;Meret;P;0
410;Mertens;A;0
4970;Messias;C;1
2164;Milenkovic;D;0
2012;Milik;A;0
645;Milinkovic-Savic;C;0
2170;Milinkovic-Savic V.;P;0
2170;MIlinkovic-Savic V.;P;0
4210;Mina;D;1
2859;Mirallas;A;0
5001;Miranchuk;C;0
4734;Miranda J.;D;0
41;Mirante;P;0
2529;Mkhitaryan;C;0
4998;Molina N.;D;0
4952;Monterisi;D;0
4957;Montipo';P;0
313;Morata;A;0
6630;Mosquera;A;1
5882;Mota;A;0
4521;Muldur;D;0
507;Muriel;A;1
259;Murillo;D;1
5012;Muriqi;A;0
2168;Musacchio;D;0
5295;Musah;C;1
2792;Musso;P;0
4317;N'Dicka;D;1
4317;N'Dicka;D;1
2288;N'Koulou;D;1
467;Nainggolan;C;0
4514;Nandez;C;0
2453;Nastasic;D;0
6396;Natan;D;1
4143;Ndombele';C;1
5564;Ndoye;C;1
6831;Neres;C;1
6145;Ngonge;A;1
4349;Nicolussi Caviglia;C;0
2288;Nkoulou;D;1
6556;Noslin;A;1
2280;Nuytinck;D;0
5336;Nzola;A;1
2617;Nzonzi;C;1
4501;Obiang;C;1
560;Obi;C;1
6120;Ochoa;P;0
2614;Odriozola;D;0
6227;Okafor;A;1
4324;Okaka;A;1
5515;Okereke;A;1
6462;Okoye;P;1
5840;Olivera;D;0
2836;Olsen;P;0
5830;Onana;P;1
2466;Origi;A;1
6218;Oristanio;C;0
2167;Orsolini;A;0
2167;Orsolini;C;0
4661;Osimhen;A;1
2468;Ospina;P;0
5750;Ostigard;D;0
2195;Ounas;A;0
543;Padelli;P;0
280;Palacio;A;0
2181;Palomino;D;0
245;Pandev;A;0
26;Papu Gomez;C;0
26;Papu Gomez;A;0
468;Paredes;C;0
5449;Parisi;D;0
342;Parolo;C;0
2077;Pasalic;C;0
2378;Pastore;C;0
4419;Pau Lopez;P;0
4177;Pavard;D;0
5022;Pavlovic;D;0
247;Pavoletti;A;0
6481;Payero;C;0
6875;Paz N.;C;0
636;Pazzini;A;0
2489;Pedro;A;0
530;Pellegrini Lo.;C;0
2728;Pellegrini Lu.;D;0
6460;Pellegrino;D;0
4249;Pereira A.;C;1
4886;Pereiro;C;0
302;Pereyra;C;1
5677;Perez N.;D;0
218;Perin;P;0
704;Perisic;C;0
237;Perotti;C;0
2741;Pessina;C;0
383;Petagna;A;0
2309;Pezzella Ger.;D;0
770;Pezzella Giu.;D;0
2756;Piatek;A;0
4359;Piccoli;A;0
2038;Pinamonti;A;0
1930;Pinsoglio;P;0
1869;Pisacane;D;0
1998;Pjaca;A;0
469;Pjanic;C;0
2091;Plizzari;P;0
5298;Pobega;C;0
303;Pogba;C;1
5079;Pohjanpalo;A;0
536;Politano;A;0
536;Politano;C;0
5603;Pongracic;D;0
6066;Posch;D;0
2065;Praet;C;0
2814;Provedel;P;0
644;Pulgar;C;0
2423;Pulisic;C;0
2826;Pussetto;A;0
568;Quagliarella;A;0
2379;Rabiot;C;0
5063;Radonjic;C;0
329;Radu;D;0
1843;Radu I.;P;0
3;Radunovic;P;0
4510;Rafael Leao;A;1
6222;Rafia;C;1
2287;Ramirez;C;0
2472;Ramsey;C;0
4371;Raspadori;A;0
2722;Ravaglia F.;P;0
186;Rebic;A;0
6224;Reijnders;C;1
387;Reina;P;0
2543;Renato Sanches;C;1
6228;Retegui;A;0
2409;Ribery;C;0
2409;Ribery;A;0
5453;Ricci S.;C;0
6804;Richardson;C;1
2868;Rigoni;A;0
4412;Rodrigo Becao;D;1
2169;Rodriguez R.;D;0
2076;Rog;C;0
460;Romagnoli;D;0
4307;Romero;D;0
2610;Ronaldo;A;0
4459;Rovella;C;0
4409;Rrahmani;D;0
294;Rugani;D;0
5354;Ruggeri;D;0
4270;Rui Patricio;P;0
2775;Ruiz;C;0
5788;Sabiri;C;1
4892;Saelemaekers;C;0
5119;Samardzic;C;0
790;Samir;D;1
479;Sanabria;A;0
2475;Sanchez;A;0
150;Saponara;C;0
5460;Satriano;A;0
1882;Sau;A;0
5526;Scalvini;D;0
2137;Scamacca;A;0
1974;Schick;A;0
4512;Schone;C;0
4393;Schouten;C;0
6041;Schuurs;D;0
574;Scuffet;P;0
1978;Sensi;C;0
159;Sepe;P;0
4284;Sergi Roberto;D;0
2847;Sernicola;D;0
5524;Serpe;D;0
5311;Shomurodov;A;0
5501;Sigurdsson;C;0
2211;Silvestri;P;0
2061;Simeone;A;0
1997;Simy;A;1
4899;Singo;D;1
2179;Sirigu;P;0
133;Skorupski;P;0
4415;Skov Olsen;C;0
4415;Skov Olsen;A;0
798;Skriniar;D;0
4245;Smalling;D;1
2428;Sommer;P;0
5686;Soppy;D;1
2625;Soriano;C;0
413;Sorrentino;P;0
6820;Sosa B.;D;0
2839;Sottil;C;0
5734;Soule';A;0
4448;Spalek;C;0
1852;Spinazzola;D;0
4;Sportiello;P;0
2327;Stepinski;A;0
1934;Strakosha;P;0
4486;Strefezza;C;0
470;Strootman;C;0
2315;Stryger Larsen;D;0
5676;Success;A;1
6486;Suslov;C;0
375;Suso;C;0
6641;Suzuki;P;1
2744;Svanberg;C;0
5841;Svilar;P;0
453;Szczesny;P;0
4890;Tameze;C;1
6628;Taremi;A;1
160;Tatarusanu;P;0
5620;Tavares N.;D;1
5919;Tchaouna;C;1
6480;Tchatchoua;D;1
6801;Tengstedt;A;0
2815;Terracciano;P;0
5812;Terracciano F.;D;0
6634;Tete Morente;C;0
2369;Thauvin;A;0
6055;Thiaw;D;1
4871;Thuram;A;1
5562;Thuram K.;C;1
4426;Toljan;D;1
695;Toloi;D;0
4422;Tomiyasu;D;0
4751;Tomori;D;1
4449;Tonali;C;0
144;Tonelli;D;0
1972;Torreira;C;0
6229;Toure' E.;A;1
2857;Traore Hj;C;1
4867;Turati;P;0
5355;Udogie;D;1
2583;Umtiti;D;1
2201;Under;A;0
5862;Valeri;D;0
2274;Valoti;C;0
2328;Vanheusden;D;0
2602;Varane;D;1
5514;Vasquez;D;0
6125;Vasquez D.;P;1
4397;Vavro;D;0
181;Vecino;C;0
2011;Veloso;C;0
215;Verde;A;0
376;Verdi;C;0
2215;Veretout;C;0
600;Verre;C;0
4964;Vicario;P;0
2414;Vidal;C;1
2154;Vignato;C;0
6025;Vilhena;C;1
5509;Vina;D;0
6164;Vitinha O.;A;0
2841;Vlahovic;A;0
5687;Vlasic;C;0
4994;Vojvoda;D;0
5735;Volpato;C;0
523;Vrsaljko;D;0
5002;Vulic;C;0
4662;Weah;C;1
2638;Wijnaldum;C;1
4260;Winks;C;0
6434;Yildiz;A;0
4895;Yoshida;D;0
2707;Young;D;1
632;Zaccagni;C;0
2124;Zajc;C;0
5422;Zalewski;C;0
4220;Zambo Anguissa;C;1
1952;Zampano;D;0
2842;Zanimacchia;A;0
2766;Zaniolo;C;0
5527;Zanoli;D;0
608;Zapata D.;A;1
4461;Zappa;D;0
554;Zappacosta;D;0
315;Zaza;A;0
6524;Zeroli;C;1
152;Zielinski;C;0
5086;Zirkzee;A;1
4513;Zmrhal;C;0
4433;Zortea;D;0
4376;Zurkovski;C;0
4376;Zurkowski;C;0
