"id","name","p","d","c","a"
"1852","Spinazzola",0,1,0,0
"1865","Capuano",0,1,0,0
"1891","Ceccherini",0,1,0,0
"2064","Veseli",0,1,0,0
"2104","Bereszynski",0,1,0,0
"2208","Jaroszynski",0,1,0,0
"2318","Rogerio",0,1,0,0
"2535","Cedric Soares",0,1,0,0
"2728","Pellegrini Lu.",0,1,0,0
"2795","Ter Avest",0,1,0,0
"2871","Klavan",0,1,0,0
"11","Conti",0,1,0,0
"76","Romagnoli S.",0,1,0,0
"100","Cesar",0,1,0,0
"287","Caceres",0,1,0,0
"356","Antonelli",0,1,0,0
"365","Zapata C.",0,1,0,0
"419","Gonzalez G",0,1,0,0
"551","Molinaro",0,1,0,0
"615","Helander",0,1,0,0
"729","Pereira P.",0,1,0,0
"2745","Calabresi",0,1,0,0
"2782","Marcano",0,1,0,0
"2831","Djourou",0,1,0,0
"141","Laurini",0,1,0,0
"169","Tomovic",0,1,0,0
"194","Ciofani M",0,1,0,0
"244","Ghiglione",0,1,0,0
"262","Santon",0,1,0,0
"327","Patric",0,1,0,0
"817","Costa F",0,1,0,0
"1999","Lukaku J.",0,1,0,0
"2007","Wallace",0,1,0,0
"2180","Karsdorp",0,1,0,0
"2289","Dalbert",0,1,0,0
"2758","Gunter",0,1,0,0
"2793","Opoku",0,1,0,0
"2810","Brighenti",0,1,0,0
"45","Ferrari A.",0,1,0,0
"78","Spolli",0,1,0,0
"103","Frey",0,1,0,0
"105","Gobbi",0,1,0,0
"251","Andreolli",0,1,0,0
"285","Barzagli",0,1,0,0
"393","Luperto",0,1,0,0
"490","Regini",0,1,0,0
"640","Chiriches",0,1,0,0
"663","Krafth",0,1,0,0
"824","Adjapong",0,1,0,0
"1984","Angella",0,1,0,0
"2015","Letschert",0,1,0,0
"2594","Lemos",0,1,0,0
"2651","Lisandro Lopez",0,1,0,0
"2653","Lykogiannis",0,1,0,0
"2752","Rasmussen",0,1,0,0
"2754","Hancko",0,1,0,0
"2772","Durmisi",0,1,0,0
"2787","Dickmann",0,1,0,0
"4323","Zeegelaar",0,1,0,0
"4329","Nikolaou",0,1,0,0
"261","Ranocchia",0,1,0,0
"583","Heurtaux",0,1,0,0
"770","Pezzella Giu.",0,1,0,0
"1867","Krajnc",0,1,0,0
"2052","Gomez G",0,1,0,0
"2174","Venuti",0,1,0,0
"2212","Vaisanen",0,1,0,0
"2664","El Yamiq",0,1,0,0
"2739","Reca",0,1,0,0
"2747","Paz",0,1,0,0
"2788","Bremer",0,1,0,0
"2797","Junior Tavares",0,1,0,0
"2800","Di Cesare",0,1,0,0
"2817","Untersee",0,1,0,0
"2829","Valjent",0,1,0,0
"4331","Ibanez",0,1,0,0
"4339","Wilmot",0,1,0,0
